species ID,Phylum,Class,Order,Suborder,Infraorder,Family,Subfamily,Genus,revised species name,tagged species name,total number of specimens,specimens Serial No,image file name,Microscrope photo No,SLR photo No,显微镜照片数量,相机照片数量,跑数据照片总数,备注,Stage,age  from,age  to,mean age value,Locality,Longitude,Latitude,Horizon,Reference (specimens firstly published),collection No
1,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,13,14545,14545Akidograptus_ascensus.jpg,11,11,129,120,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,14546,14546Akidograptus_ascensus.jpg,12,11,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,14549,14549Akidograptus_ascensus.jpg,20,16,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,14550,14550Akidograptus_ascensus.jpg,20,16,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,14551,14551Akidograptus_ascensus.jpg,10,9,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,14552,14552Akidograptus_ascensus.jpg,12,9,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Huangshu Village in Anji County, Zhejiang Province",119.676,30.608,Lower Silurian,"Yang, D.Q. 1964. Some Lower Silurian graptolites from Anji, northwestern Zhejiang (Chekiang). Acta Palaeontologica Sinica, 12(4): 628-635.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,21107,21107Akidograptus_ascensus.jpg,0,6,,,,单反留存，未标,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Shanshuliang Village in Chengkou County, Chongqing CIty",108.631,31.985,Shuanghechang Formation,"Ge,M.Y.,1990.SilurianGraptolitesfromChengkou,Sichuan.PalaeontologiaSinica,NewSeriesB26.SciencePress,Beijing,157pp.(inChinese).",CF-Ⅰ-7
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,54212,54212Akidograptus_ascensus.jpg,10,8,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Dingxiang Village in Shitai County, Anhui Province",117.357,30.198,Gaojiabian Formation,"Li, J.J.,Ge, M.Y. 1981. Development and systematic position of akidograptids. Acta Palaeontologica Sinica, 20(3): 225-234.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,54214,54214Akidograptus_ascensus.jpg,10,9,,,,,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Zhangcunxu Village in Qingyang, Anhui Province",117.968,30.561,Gaojiabian Formation,"Li, J.J.,Ge, M.Y. 1981. Development and systematic position of akidograptids. Acta Palaeontologica Sinica, 20(3): 225-234.",
,Hemichordata,Pterobranchia,Graptoloidea,"Axonophora Frech, 1897","Neograptina Štorch & others, 2011","Dimorphograptidae Elles & Wood, 1908",,Akidograptus,Akidograptus ascensus,Akidograptus ascensus,,77016,77016Akidograptus_ascensus.jpg,0,7,,,,单反留存，未标,"Rhuddanian, Llandovery (early Silurian)",443.8,440.8,442.3,"Dewukabuxia Village in Xiaza, Tibet",88.682,31.129,Dewukaxia Formation,"Ni, Y.N. 1987.  Lower Silurian graptolites from Xainza, northern Xizang. Bulletin of Nanjing Institute of Geology and Palaeontology, Academica Sinica No. 11, 232-268, with 14 plates.",ADG5
